MasterScheduleId,ItemSku,WarehouseId,PeriodStartDate,PeriodEndDate,Quantity,UnitOfMeasureId,MRP Planner,VendorId
AMCOR FORECAST,4050030366000,168,12/12/2022 00:00,12/16/2022 0:00,400,Eaches,RAHUL,AM-001
AMCOR FORECAST,4050030366000,168,12/19/2022 0:00,12/22/2022 0:00,325,Eaches,RAHUL,AM-001
AMCOR FORECAST,4050030366000,168,12/26/2022 0:00,12/30/2022 0:00,350,Eaches,RAHUL,AM-001
AMCOR FORECAST,4050030366000,168,01/02/2023 00:00,01/06/2023 00:00,450,Eaches,RAHUL,AM-001
AMCOR FORECAST,4050030366000,168,01/09/2023 00:00,1/13/2023 0:00,560,Eaches,RAHUL,AM-001
AMCOR FORECAST,4050030366000,168,1/16/2022 0:00,1/20/2023 0:00,550,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,1/23/2023 0:00,1/27/2023 0:00,400,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,1/30/2023 0:00,02/03/2023 00:00,250,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,02/06/2023 00:00,02/10/2023 00:00,270,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,2/13/2023 0:00,2/17/2023 0:00,280,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,2/20/2023 0:00,2/24/2023 0:00,320,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,2/27/2023 0:00,03/03/2023 00:00,340,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,03/06/2023 00:00,03/10/2023 00:00,550,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,3/13/2023 0:00,3/17/2023 0:00,25,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,3/20/2023 0:00,3/24/2023 0:00,1000,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,3/27/2023 0:00,3/31/2023 0:00,2500,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,04/03/2023 00:00,04/07/2023 00:00,4000,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,04/10/2023 00:00,4/14/2023 0:00,3200,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,4/17/2023 0:00,4/21/2023 0:00,50000,Eaches,JOHN,AM-001
AMCOR FORECAST,4050030366000,168,11/07/2022 00:00,11/11/2022 00:00,40,Eaches,ALOK111,AM-001
AMCOR FORECAST,4050030367900,124,11/14/2022 0:00,11/18/2022 0:00,100,Eaches,ALOK111,AM-001
AMCOR FORECAST,4050030367900,124,11/21/2022 0:00,11/25/2022 0:00,120,Eaches,ALOK111,AM-001
AMCOR FORECAST,4050030367900,124,11/28/2022 0:00,12/02/2022 00:00,215,Eaches,ALOK111,AM-001
AMCOR FORECAST,4050030367900,124,12/05/2022 00:00,12/09/2022 00:00,315,Eaches,ALOK111,AM-001
AMCOR FORECAST,4050030367900,124,12/12/2022 00:00,12/16/2022 0:00,400,Eaches,ALOK111,AM-001
AMCOR FORECAST,4050030367900,124,12/19/2022 0:00,12/22/2022 0:00,325,Eaches,ALOK111,AM-001
AMCOR FORECAST,4050030367900,124,12/26/2022 0:00,12/30/2022 0:00,350,Eaches,ALOK111,AM-001
AMCOR FORECAST,4050030367900,124,01/02/2023 00:00,01/06/2023 00:00,450,Eaches,ALOK111,AM-001
AMCOR FORECAST,4050030367900,124,01/09/2023 00:00,1/13/2023 0:00,560,Eaches,ALOK111,AM-001
AMCOR FORECAST,4050030367900,124,1/16/2022 0:00,1/20/2023 0:00,550,Eaches,KAVI123,AM-001
AMCOR FORECAST,4050030367900,124,1/23/2023 0:00,1/27/2023 0:00,400,Eaches,KAVI123,AM-001
AMCOR FORECAST,4050030367900,124,1/30/2023 0:00,02/03/2023 00:00,250,Eaches,KAVI123,AM-001
AMCOR FORECAST,4050030367900,124,02/06/2023 00:00,02/10/2023 00:00,270,Eaches,KAVI123,AM-001
AMCOR FORECAST,4050030367900,124,2/13/2023 0:00,2/17/2023 0:00,280,Eaches,KAVI123,AM-001
AMCOR FORECAST,4050030367900,124,2/20/2023 0:00,2/24/2023 0:00,320,Eaches,KAVI123,AM-001
AMCOR FORECAST,4050030367900,124,2/27/2023 0:00,03/03/2023 00:00,340,Eaches,KAVI123,AM-001
AMCOR FORECAST,4050030367900,124,03/06/2023 00:00,03/10/2023 00:00,550,Eaches,KAVI123,AM-001
AMCOR FORECAST,4050030367900,124,3/13/2023 0:00,3/17/2023 0:00,25,Eaches,KAVI123,AM-001
AMCOR FORECAST,4050030367900,124,3/20/2023 0:00,3/24/2023 0:00,1000,Eaches,KAVI123,AM-001
AMCOR FORECAST,4050030367900,124,3/27/2023 0:00,3/31/2023 0:00,2500,Eaches,KAVI123,AM-001
AMCOR FORECAST,4050030367900,124,04/03/2023 00:00,04/07/2023 00:00,4000,Eaches,KAVI123,AM-001
AMCOR FORECAST,4050030367900,124,4/17/2023 0:00,4/21/2023 0:00,50000,Eaches,KAVI123,AM-001
